ID,lastName,firstName,position,birthYear,debutYear
AbduKa173,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa174,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa175,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa176,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa177,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa178,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa179,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa180,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa181,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa182,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa183,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa184,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa185,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa186,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa187,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa188,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa189,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa190,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa191,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa192,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa193,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa194,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa195,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa196,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa197,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa198,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa199,Abdul-Jabbar,Karim,rb,1974,1996
